model_region,activity,value
AT12,NURS,30750.8302624323
AT12,FLOW,3714697.90389464
AT12,OCRO,3812.58224588309
AT12,MAIF,34.5341277236719
AT12,ROOF,27636.6899190372
AT12,OFAR,23.2962212475628
AT12,GRAE,3.62632762492549
AT12,GRAI,4.03530873343846
AT12,PULS,17.9373316740499
AT12,POTA,179.140426421053
AT12,SUGB,55.9303672315638
AT12,TEXT,3951.32178530113
AT12,TOBA,8001575.59055678
AT12,TOMA,6126289.77435031
AT12,OVEG,3559.95621321305
AT12,APPL,22236.4446296539
AT12,OFRU,485484.340980612
AT12,TWIN,2491.72449281854
AT12,FALL,12.9235860565045
AT12,VSET,264.41287413237
AT12,DCOL,118.149551364305
AT12,DCOH,176.229586583258
AT12,BULL,22.715458245844
AT12,BULH,34.4997580156132
AT12,HEIL,87.2979530479312
AT12,HEIH,134.126411774069
AT12,SCOW,18.2473052911905
AT12,HEIR,38.3756551608502
AT12,CAMF,24.6754409727081
AT12,CAFF,37.0796276469505
AT12,CAMR,7.7914251807691
AT12,CAFR,6.74820755544277
AT12,PIGF,0.153840402726087
AT12,SOWS,9.36244865710865
AT12,SHGM,5.66399612177013
AT12,SHGF,2.3745671286367
AT12,HENS,23636.8205415197
AT12,POUF,200.253624515777
AT12,OANI,260257.207812051
AT21,SWHE,109.24027865666
AT21,DWHE,12113.0499446402
AT21,RYEM,858.19058971799
AT21,BARL,80.2649588288805
AT21,OATS,90.4486033228736
AT21,CORN,99.8842589146187
AT21,OCER,123.735007444976
AT21,RAPE,17612.5373047155
AT21,SUNF,8160.10716016424
AT21,SOYA,279.058326209208
AT21,OOIL,839.522500131588
AT21,NURS,320850.475203187
AT21,FLOW,63806032.6688197
AT21,OCRO,30354.1931181568
AT21,MAIF,72.5984556115468
AT21,ROOF,157569.864062958
AT21,OFAR,75.482949032315
AT21,GRAE,2.75260326425811
AT21,GRAI,3.08048992059783
AT21,PULS,632.321572187424
AT21,POTA,5482.64984177379
AT21,SUGB,36199.8151920094
AT21,TEXT,43747.2892557128
AT21,TOBA,65658181.6372929
AT21,TOMA,62769726.3001109
AT21,OVEG,36869.7802766029
AT21,APPL,211064.301664777
AT21,OFRU,4963436.7928745
AT21,TWIN,2632692.16103135
AT21,FALL,269.969975310122
AT21,VSET,868.701218246092
AT21,DCOL,345.108440751049
AT21,DCOH,512.50058073786
AT21,BULL,108.531332945176
AT21,BULH,165.973523657132
AT21,HEIL,159.596872939907
AT21,HEIH,243.963111526134
AT21,SCOW,14.8391141929795
AT21,HEIR,81.2379266528822
AT21,CAMF,68.7574910729483
AT21,CAFF,103.070115838072
AT21,CAMR,32.6416015289149
AT21,CAFR,28.2590706623812
AT21,PIGF,0.954809220814276
AT21,SOWS,74.7579907674854
AT21,SHGM,10.1325444035024
AT21,SHGF,4.24965403134911
AT21,HENS,64461.770822917
AT21,POUF,498.273130189439
AT21,OANI,1151532.42292608
AT22,SWHE,99.7493481043962
AT22,DWHE,3788.49215723677
AT22,RYEM,103.388207920601
AT22,BARL,81.8017496996092
AT22,OATS,121.839472797064
AT22,CORN,18.7036901068264
AT22,OCER,83.4205505819618
AT22,RAPE,5583.34285837124
AT22,SUNF,2815.76653732937
AT22,SOYA,383.562073056805
AT22,OOIL,154.337906166754
AT22,NURS,88655.9963263258
AT22,FLOW,7325554.01697677
AT22,OCRO,11845.6850071618
AT22,MAIF,75.4518783586757
AT22,ROOF,219985.767731249
AT22,OFAR,33.7263436101045
AT22,GRAE,2.14497585913397
AT22,GRAI,2.39374854818385
AT22,PULS,156.754563109219
AT22,POTA,3180.22337754963
AT22,SUGB,6231.33429356201
AT22,TEXT,11342.2749495918
AT22,TOBA,23153858.3664649
AT22,TOMA,17353831.1216458
AT22,OVEG,10193.760143225
AT22,APPL,58551.0666927088
AT22,OFRU,1372495.44310292
AT22,TWIN,20842.5711150451
AT22,FALL,37.4567045766566
AT22,VSET,869.990931610343
AT22,DCOL,149.556013573066
AT22,DCOH,222.885505016142
AT22,BULL,42.39785740321
AT22,BULH,64.1779525207582
AT22,HEIL,102.437032383993
AT22,HEIH,155.478024653518
AT22,SCOW,15.6217323813876
AT22,HEIR,46.891776923707
AT22,CAMF,39.2347723555296
AT22,CAFF,58.9586907040981
AT22,CAMR,18.6370545187516
AT22,CAFR,16.1716589396538
