model_region,FCER,FCOM,FEED,FGRA,FMAI,FMIL,FOFA,FOTH,FPRO,FROO,FSGM,FSTR
EL54,34822.906697810555,7308.753459932668,24941.366418697606,418292.9105291554,1204.7410887857714,3707.8696406005456,1911.1802696061973,7783.260378618567,24917.790767680868,224.52865499878303,67.47913222753986,127.30101133101745
EL61,48029.35788012524,4329.721524823651,25370.138890902555,208035.56042037328,18528.971728710152,3718.3206319671053,32578.745235577586,9578.756183115129,24657.24113626095,233.1084129846507,76.23377110712757,945.7389981796971
EL62,55398.618871532606,2333.8455258503063,25082.76086713345,76.59947870239476,6564.037288153364,3775.818043452127,57796.586854355155,10940.174860001425,24464.269686742766,280.8488170707213,75.91783595862694,929.7646843329334
EL63,54978.70057070478,5898.38968421703,24423.934717515822,76.59947870239476,20791.03517572432,3693.650783653734,47665.89031430415,10598.014700017473,28649.166145352483,227.12091856343085,98.01526647012797,1404.352864188803
EL64,53474.45214836996,1902.1204432640925,25347.276739984973,76.59947870239476,17621.79842317127,3758.0755844809155,46138.33405342009,10807.910217153114,28987.91221657012,235.05753494873693,73.25742320046086,1505.5310280206545
EL65,40674.20193393675,1139.853809299057,24121.788030976673,395124.2196802558,223.23779877736172,3808.674602109356,1906.0896529441302,8480.467142333617,17122.181518752113,224.52621532332878,73.82179200031466,728.845817608744
ES11,64442.938029346784,4163.271177261532,18829.229393216196,78021.98566923803,58754.453640057196,5987.560617261951,44399.68463546581,3074.380488009314,21505.570136331764,2714.583600054744,23.519022684829814,583.121804758041
ES12,61799.76415624637,6369.901243575217,18233.34410580052,150880.46522150785,24772.38195882724,5982.265602689484,4935.748319964832,3005.582931128695,16637.581235448964,935.4447403603946,28.74856227733909,314.85644126164937
ES13,61252.23820892502,6142.996346023652,18145.672194102586,179796.23051086153,10031.286638899182,5979.070235498349,1634.1270391022317,3010.3537944121676,16008.794954086661,445.78914931710455,31.49228125688428,583.1065831976707
ES21,58205.32728200495,4901.52362497509,18036.34416242084,201905.8226071338,4276.175244999312,5984.059361678586,7089.284911193551,2943.3436142764835,14461.53424365526,289.63584897043296,35.9153991221075,3058.8556645777508
ES22,59399.035871097374,2282.797472532847,18281.90298605174,132401.9979285021,19397.02298156808,5992.739731786898,35520.38977327706,2957.6160084754706,15371.877400125157,208.44372189067667,33.08454326143181,3280.451453782596
ES23,55600.252507045596,2734.4692604600327,18176.877135226452,212511.48075696954,990.2524292436323,6008.562005052719,6712.354850371105,2805.1990787897003,14218.575275726533,167.25604077636737,29.88962899097624,2072.0659124307144
ES24,65630.97479034621,919.1466210356368,19148.132857061013,170762.99372488688,1149.6232182539347,6034.895611506138,45637.36839943847,2853.1158749849988,21627.600979267765,188.20976151064949,35.36485858681181,2647.4595003700224
ES30,57214.62116855201,4132.689718598298,18032.979305054705,195838.6574798587,1835.722577835818,6000.531175882364,6152.0850957286275,2831.5418103807638,15269.334708551132,384.9294062273879,27.9989464216429,2081.8266167449624
ES41,61024.216236938475,4129.746152249795,19073.242950232878,196106.14518182393,4814.823561673714,6034.6454424197145,33789.05902716239,2996.4336059784177,24196.92165553831,128.84776914850065,36.94138543044089,4908.989047436416
ES42,56365.875212118226,1481.1923346884685,18839.22566084896,177952.44699397357,5830.115407934287,6045.3562420395365,23993.334520285433,2997.8312519293872,23003.22958456917,154.29638695192511,40.86425372802428,2925.8370980284003
ES43,55592.671988934235,6408.992571915075,17902.37359505969,229300.5612210041,472.6541765753253,6011.792843680538,19500.024278866145,2920.805891181272,16222.054580815531,109.09771769355609,47.37319865023173,2119.174672986917
ES51,71614.63891311691,1396.9531199810904,19496.425548691324,89196.49502418502,27161.235238453493,6011.661985807226,48592.55593684233,3027.2543467163564,27611.151758867985,198.58090795790508,26.726866068089997,3860.8458218392975
ES52,60230.969789512936,992.5631845538188,18413.310849904294,124671.29698461761,11093.854910551934,6022.023299565048,26673.603559677314,2923.1633684425674,17387.24674364652,2907.247729991226,30.607147361486348,2215.046237799351
ES53,59156.71579248314,1036.0869923909843,18886.779045097308,48023.46498568335,955.1771233207777,5992.030583879367,96964.65916660774,3026.3201758437363,14990.064878495636,188.24263205043155,41.14212173767384,2467.244258917205
ES61,62276.12380697374,2431.5122007666355,18696.355081186593,220072.08017606568,1013.03168275208,6034.754799804034,9726.95470481184,3007.546892947201,20043.484069456677,489.6969398326088,41.08064078459433,3224.444118616465
ES62,59978.868424410655,194.8796444081198,17905.180259910423,190103.70623565855,3402.2428454930973,6012.927254573701,10560.121970529972,2948.109958576856,16007.8745374078,206.68839007202115,38.02814585365587,2265.1787040758722
ES70,57108.75780505845,1100.2157437770259,17781.304924001724,200747.17997912943,14321.118882615188,5989.037572386889,7675.869432403025,2999.036728236188,15322.070730939426,3964.68695495614,41.98265135084556,349.5549059651726
FI19,51433.4796457518,1244.9736568746034,18018.98758918421,2134.2848357958387,,4491.302082166751,192290.73670655274,4375.233728608268,29537.36277016684,104.64401596528128,,3584.3431288618667
FI20,47594.82936999476,1969.8176620234592,14745.99728618406,29050.856633808275,,3836.354862683278,183430.19986818012,3757.5397757545975,12796.798454205438,116.19959325982627,,3349.3102305513307
FR10,45941.38622635129,327.6269700274969,14725.933791425037,119274.87569147002,27628.4357801923,4293.217762849069,49104.630439649336,2094.4087869084824,17005.906416044283,2146.587716641737,24.89795160605243,2424.8390336524576
FRB0,44696.63958932145,1808.180532350815,16188.121663633197,104403.96439525901,34360.44383466868,4189.9575493439725,84259.41865655137,2144.401745949932,23445.898711415724,1780.7675225590954,28.52190914162776,2529.3994879544266
